tempo_sk,data_completa,ano,mes,dia,dia_semana,trimestre,trimestre_fiscal,eh_fim_mes,eh_fim_trimestre,eh_fim_ano,eh_feriado_bancario
1,2013-09-01,2013,9,1,Sunday,3,3,False,False,False,False
2,2013-09-02,2013,9,2,Monday,3,3,False,False,False,True
3,2013-09-03,2013,9,3,Tuesday,3,3,False,False,False,False
4,2013-09-04,2013,9,4,Wednesday,3,3,False,False,False,False
5,2013-09-05,2013,9,5,Thursday,3,3,False,False,False,False
6,2013-09-06,2013,9,6,Friday,3,3,False,False,False,False
7,2013-09-07,2013,9,7,Saturday,3,3,False,False,False,False
8,2013-09-08,2013,9,8,Sunday,3,3,False,False,False,False
9,2013-09-09,2013,9,9,Monday,3,3,False,False,False,False
10,2013-09-10,2013,9,10,Tuesday,3,3,False,False,False,False
11,2013-09-11,2013,9,11,Wednesday,3,3,False,False,False,False
12,2013-09-12,2013,9,12,Thursday,3,3,False,False,False,False
13,2013-09-13,2013,9,13,Friday,3,3,False,False,False,False
14,2013-09-14,2013,9,14,Saturday,3,3,False,False,False,False
15,2013-09-15,2013,9,15,Sunday,3,3,False,False,False,False
16,2013-09-16,2013,9,16,Monday,3,3,False,False,False,False
17,2013-09-17,2013,9,17,Tuesday,3,3,False,False,False,False
18,2013-09-18,2013,9,18,Wednesday,3,3,False,False,False,False
19,2013-09-19,2013,9,19,Thursday,3,3,False,False,False,False
20,2013-09-20,2013,9,20,Friday,3,3,False,False,False,False
21,2013-09-21,2013,9,21,Saturday,3,3,False,False,False,False
22,2013-09-22,2013,9,22,Sunday,3,3,False,False,False,False
23,2013-09-23,2013,9,23,Monday,3,3,False,False,False,False
24,2013-09-24,2013,9,24,Tuesday,3,3,False,False,False,False
25,2013-09-25,2013,9,25,Wednesday,3,3,False,False,False,False
26,2013-09-26,2013,9,26,Thursday,3,3,False,False,False,False
27,2013-09-27,2013,9,27,Friday,3,3,False,False,False,False
28,2013-09-28,2013,9,28,Saturday,3,3,False,False,False,False
