fato_financeiro_sk,produto_sk,geografia_sk,segmento_sk,desconto_sk,tempo_sk,unidades_vendidas,receita_liquida,custo_produtos_vendidos,lucro
1,1,1,1,,123,1618.5,32370.0,16185.0,16185.0
2,1,2,1,,123,1321.0,26420.0,13210.0,13210.0
3,1,3,2,,274,2178.0,32670.0,21780.0,10890.0
4,1,2,2,,274,888.0,13320.0,8880.0,4440.0
5,1,4,2,,274,2470.0,37050.0,24700.0,12350.0
6,1,2,1,,457,1513.0,529550.0,393380.0,136170.0
7,2,2,2,,182,921.0,13815.0,9210.0,4605.0
8,2,1,3,,274,2518.0,30216.0,7554.0,22662.0
9,2,3,1,,274,1899.0,37980.0,18990.0,18990.0
10,2,2,3,,274,1545.0,18540.0,4635.0,13905.0
11,2,4,2,,274,2470.0,37050.0,24700.0,12350.0
12,2,1,4,,304,2665.5,333187.5,319860.0,13327.5
13,2,4,5,,335,958.0,287400.0,239500.0,47900.0
14,2,2,1,,366,2146.0,15022.0,10730.0,4292.0
15,2,1,4,,31,345.0,43125.0,41400.0,1725.0
16,2,5,2,,457,615.0,9225.0,6150.0,3075.0
17,3,1,1,,154,292.0,5840.0,2920.0,2920.0
18,3,4,2,,154,974.0,14610.0,9740.0,4870.0
19,3,1,3,,274,2518.0,30216.0,7554.0,22662.0
20,3,2,1,,274,1006.0,352100.0,261560.0,90540.0
21,3,2,3,,304,367.0,4404.0,1101.0,3303.0
22,3,4,1,,335,883.0,6181.0,4415.0,1766.0
23,3,3,2,,1,549.0,8235.0,5490.0,2745.0
24,3,4,5,,1,788.0,236400.0,197000.0,39400.0
25,3,4,2,,366,2472.0,37080.0,24720.0,12360.0
26,3,5,1,,396,1143.0,8001.0,5715.0,2286.0
27,3,1,1,,62,1725.0,603750.0,448500.0,155250.0
28,3,5,3,,62,912.0,10944.0,2736.0,8208.0
29,3,1,2,,92,2152.0,32280.0,21520.0,10760.0
30,3,1,1,,457,1817.0,36340.0,18170.0,18170.0
31,3,2,1,,457,1513.0,529550.0,393380.0,136170.0
32,4,4,1,,123,1493.0,10451.0,7465.0,2986.0
33,4,3,4,,154,1804.0,225500.0,216480.0,9020.0
34,4,2,3,,182,2161.0,25932.0,6483.0,19449.0
35,4,2,1,,274,1006.0,352100.0,261560.0,90540.0
36,4,2,3,,274,1545.0,18540.0,4635.0,13905.0
37,4,5,4,,335,2821.0,352625.0,338520.0,14105.0
38,4,1,4,,31,345.0,43125.0,41400.0,1725.0
39,5,1,5,,154,2001.0,600300.0,500250.0,100050.0
40,5,2,3,,213,2838.0,34056.0,8514.0,25542.0
41,5,3,2,,274,2178.0,32670.0,21780.0,10890.0
42,5,2,2,,274,888.0,13320.0,8880.0,4440.0
43,5,3,1,,1,1527.0,534450.0,397020.0,137430.0
44,5,3,5,,366,2151.0,645300.0,537750.0,107550.0
45,5,1,1,,457,1817.0,36340.0,18170.0,18170.0
46,6,3,1,,154,2750.0,962500.0,715000.0,247500.0
47,6,5,3,,213,1953.0,23436.0,5859.0,17577.0
48,6,2,4,,213,4219.5,527437.5,506340.0,21097.5
49,6,3,1,,274,1899.0,37980.0,18990.0,18990.0
50,6,2,1,,304,1686.0,11802.0,8430.0,3372.0
51,6,5,3,,335,2141.0,25692.0,6423.0,19269.0
52,6,5,1,,396,1143.0,8001.0,5715.0,2286.0
53,6,5,2,,457,615.0,9225.0,6150.0,3075.0
54,3,3,1,,123,3945.0,27338.85,19725.0,7613.85
55,3,3,2,,154,2296.0,34095.6,22960.0,11135.6
56,3,3,1,,243,1030.0,7137.9,5150.0,1987.9
57,4,3,1,,427,639.0,4428.27,3195.0,1233.27
58,5,1,1,,182,1326.0,9189.18,6630.0,2559.18
59,1,5,3,,154,1858.0,22073.04,5574.0,16499.04
60,1,4,1,,182,1210.0,419265.0,314600.0,104665.0
61,1,5,1,,304,2529.0,17525.97,12645.0,4880.97
62,1,1,3,,366,1445.0,17166.6,4335.0,12831.6
63,1,5,4,,1,330.0,40837.5,39600.0,1237.5
64,1,3,3,,366,2671.0,31731.48,8013.0,23718.48
65,1,2,3,,31,766.0,9100.08,2298.0,6802.08
66,1,4,5,,31,494.0,146718.0,123500.0,23218.0
67,1,4,1,,396,1397.0,484060.5,363220.0,120840.5
68,1,3,1,,457,2155.0,746707.5,560300.0,186407.5
69,2,4,2,,182,2214.0,32877.9,22140.0,10737.9
70,2,5,5,,213,2301.0,683397.0,575250.0,108147.0
71,2,3,1,,304,1375.5,27234.9,13755.0,13479.9
72,2,1,1,,335,1830.0,12681.9,9150.0,3531.9
73,2,5,5,,1,2498.0,741906.0,624500.0,117406.0
74,2,5,4,,31,663.0,82046.25,79560.0,2486.25
75,3,5,2,,154,1514.0,22482.9,15140.0,7342.9
76,3,5,1,,213,4492.5,31133.03,22462.5,8670.53
77,3,5,4,,274,727.0,89966.25,87240.0,2726.25
78,3,3,4,,274,787.0,97391.25,94440.0,2951.25
79,3,4,4,,304,1823.0,225596.25,218760.0,6836.25
80,3,2,2,,366,747.0,11092.95,7470.0,3622.95
81,3,2,3,,31,766.0,9100.08,2298.0,6802.08
82,3,5,5,,427,2905.0,862785.0,726250.0,136535.0
83,3,3,1,,457,2155.0,746707.5,560300.0,186407.5
84,4,3,1,,213,3864.0,76507.2,38640.0,37867.2
85,4,4,1,,243,362.0,2508.66,1810.0,698.66
86,4,1,4,,335,923.0,114221.25,110760.0,3461.25
87,4,5,4,,31,663.0,82046.25,79560.0,2486.25
88,4,1,1,,62,2092.0,14497.56,10460.0,4037.56
89,5,2,1,,182,263.0,1822.59,1315.0,507.59
90,5,1,1,,213,943.5,326922.75,245310.0,81612.75
91,5,5,4,,274,727.0,89966.25,87240.0,2726.25
92,5,3,4,,274,787.0,97391.25,94440.0,2951.25
93,5,2,5,,366,986.0,292842.0,246500.0,46342.0
94,5,4,5,,31,494.0,146718.0,123500.0,23218.0
95,5,4,1,,396,1397.0,484060.5,363220.0,120840.5
96,5,3,4,,427,1744.0,215820.0,209280.0,6540.0
97,6,5,3,,1,1989.0,23629.32,5967.0,17662.32
98,6,3,2,,62,321.0,4766.85,3210.0,1556.85
99,1,1,4,,213,742.5,90956.25,89100.0,1856.25
100,1,1,3,,396,1295.0,15229.2,3885.0,11344.2
101,1,2,5,,31,214.0,62916.0,53500.0,9416.0
102,1,3,1,,62,2145.0,14714.7,10725.0,3989.7
103,1,1,1,,457,2852.0,978236.0,741520.0,236716.0
104,2,5,3,,274,1142.0,13429.92,3426.0,10003.92
105,2,5,1,,396,1566.0,30693.6,15660.0,15033.6
106,2,4,3,,427,690.0,8114.4,2070.0,6044.4
107,2,4,4,,62,1660.0,203350.0,199200.0,4150.0
108,3,1,2,,154,2363.0,34736.1,23630.0,11106.1
109,3,3,5,,243,918.0,269892.0,229500.0,40392.0
110,3,2,5,,243,1728.0,508032.0,432000.0,76032.0
111,3,5,3,,274,1142.0,13429.92,3426.0,10003.92
112,3,4,4,,274,662.0,81095.0,79440.0,1655.0
113,3,1,3,,396,1295.0,15229.2,3885.0,11344.2
114,3,2,4,,31,809.0,99102.5,97080.0,2022.5
115,3,4,4,,31,2145.0,262762.5,257400.0,5362.5
116,3,3,3,,62,1785.0,20991.6,5355.0,15636.6
117,3,1,5,,457,1916.0,563304.0,479000.0,84304.0
118,3,1,1,,457,2852.0,978236.0,741520.0,236716.0
119,3,1,4,,457,2729.0,334302.5,327480.0,6822.5
120,3,5,2,,92,1925.0,28297.5,19250.0,9047.5
121,3,5,1,,92,2013.0,13809.18,10065.0,3744.18
122,3,3,3,,457,1055.0,12406.8,3165.0,9241.8
123,3,4,3,,457,1084.0,12747.84,3252.0,9495.84
124,4,5,1,,396,1566.0,30693.6,15660.0,15033.6
125,4,2,1,,31,2966.0,1017338.0,771160.0,246178.0
126,4,2,1,,396,2877.0,986811.0,748020.0,238791.0
127,4,2,4,,31,809.0,99102.5,97080.0,2022.5
128,4,4,4,,31,2145.0,262762.5,257400.0,5362.5
129,4,3,3,,457,1055.0,12406.8,3165.0,9241.8
130,4,4,1,,92,544.0,10662.4,5440.0,5222.4
131,4,4,3,,457,1084.0,12747.84,3252.0,9495.84
132,5,4,4,,274,662.0,81095.0,79440.0,1655.0
133,5,2,5,,31,214.0,62916.0,53500.0,9416.0
134,5,2,1,,396,2877.0,986811.0,748020.0,238791.0
135,5,1,4,,457,2729.0,334302.5,327480.0,6822.5
136,5,5,1,,92,266.0,91238.0,69160.0,22078.0
137,5,4,1,,92,1940.0,665420.0,504400.0,161020.0
138,6,2,5,,182,259.0,76146.0,64750.0,11396.0
139,6,4,5,,182,1101.0,323694.0,275250.0,48444.0
140,6,2,4,,243,2276.0,278810.0,273120.0,5690.0
141,6,2,1,,31,2966.0,1017338.0,771160.0,246178.0
142,6,5,1,,427,1236.0,24225.6,12360.0,11865.6
143,6,3,1,,427,941.0,18443.6,9410.0,9033.6
144,6,1,5,,457,1916.0,563304.0,479000.0,84304.0
145,1,3,4,,213,4243.5,514524.38,509220.0,5304.38
146,1,2,1,,213,2580.0,50052.0,25800.0,24252.0
147,1,2,5,,274,689.0,200499.0,172250.0,28249.0
148,1,5,3,,366,1947.0,22663.08,5841.0,16822.08
149,1,1,3,,92,908.0,10569.12,2724.0,7845.12
150,2,2,1,,154,1958.0,13294.82,9790.0,3504.82
151,2,3,3,,274,1901.0,22127.64,5703.0,16424.64
152,2,3,1,,366,544.0,3693.76,2720.0,973.76
153,2,2,1,,1,1797.0,610081.5,467220.0,142861.5
154,2,3,4,,457,1287.0,156048.75,154440.0,1608.75
155,2,2,4,,457,1706.0,206852.5,204720.0,2132.5
156,3,3,5,,123,2434.5,708439.5,608625.0,99814.5
157,3,1,4,,182,1774.0,215097.5,212880.0,2217.5
158,3,3,3,,274,1901.0,22127.64,5703.0,16424.64
159,3,2,5,,274,689.0,200499.0,172250.0,28249.0
160,3,2,4,,274,1570.0,190362.5,188400.0,1962.5
161,3,5,3,,304,1369.5,15940.98,4108.5,11832.48
162,3,1,4,,396,2009.0,243591.25,241080.0,2511.25
163,3,2,2,,31,1945.0,28299.75,19450.0,8849.75
164,3,3,4,,457,1287.0,156048.75,154440.0,1608.75
165,3,2,4,,457,1706.0,206852.5,204720.0,2132.5
166,4,1,4,,396,2009.0,243591.25,241080.0,2511.25
167,5,5,5,,154,2844.0,827604.0,711000.0,116604.0
168,5,4,3,,213,1916.0,22302.24,5748.0,16554.24
169,5,2,4,,274,1570.0,190362.5,188400.0,1962.5
170,5,1,5,,335,1874.0,545334.0,468500.0,76834.0
171,5,4,1,,335,1642.0,557459.0,426920.0,130539.0
172,5,2,2,,31,1945.0,28299.75,19450.0,8849.75
173,1,1,1,,243,831.0,16121.4,8310.0,7811.4
174,3,4,1,,1,1760.0,11950.4,8800.0,3150.4
175,4,1,1,,213,3850.5,74699.7,38505.0,36194.7
176,5,2,3,,123,2479.0,28855.56,7437.0,21418.56
177,2,4,2,,396,2031.0,29246.4,20310.0,8936.4
178,3,4,2,,396,2031.0,29246.4,20310.0,8936.4
179,3,3,2,,92,2261.0,32558.4,22610.0,9948.4
180,4,5,1,,1,736.0,14131.2,7360.0,6771.2
181,1,1,1,,31,2851.0,19158.72,14255.0,4903.72
182,1,2,5,,396,2021.0,582048.0,505250.0,76798.0
183,1,5,1,,457,274.0,92064.0,71240.0,20824.0
184,2,1,2,,182,1967.0,28324.8,19670.0,8654.8
185,2,2,5,,335,1859.0,535392.0,464750.0,70642.0
186,2,1,1,,31,2851.0,19158.72,14255.0,4903.72
187,2,2,5,,396,2021.0,582048.0,505250.0,76798.0
188,2,4,4,,457,1138.0,136560.0,136560.0,0.0
189,3,1,1,,123,4251.0,28566.72,21255.0,7311.72
190,3,2,4,,182,795.0,95400.0,95400.0,0.0
191,3,2,5,,213,1414.5,407376.0,353625.0,53751.0
192,3,5,5,,243,2918.0,840384.0,729500.0,110884.0
193,3,5,1,,304,3450.0,1159200.0,897000.0,262200.0
194,3,3,4,,304,2988.0,358560.0,358560.0,0.0
195,3,1,2,,366,218.0,3139.2,2180.0,959.2
196,3,1,1,,366,2074.0,39820.8,20740.0,19080.8
197,3,5,1,,366,1056.0,20275.2,10560.0,9715.2
198,3,5,2,,31,671.0,9662.4,6710.0,2952.4
199,3,4,2,,31,1514.0,21801.6,15140.0,6661.6
200,3,5,1,,457,274.0,92064.0,71240.0,20824.0
201,3,4,4,,457,1138.0,136560.0,136560.0,0.0
202,4,5,3,,182,1465.0,16876.8,4395.0,12481.8
203,4,1,1,,1,2646.0,50803.2,26460.0,24343.2
204,4,3,1,,396,2177.0,731472.0,566020.0,165452.0
205,5,3,3,,243,866.0,9976.32,2598.0,7378.32
206,5,5,1,,1,349.0,117264.0,90740.0,26524.0
207,5,3,1,,396,2177.0,731472.0,566020.0,165452.0
208,5,4,2,,31,1514.0,21801.6,15140.0,6661.6
209,6,4,1,,154,1865.0,626640.0,484900.0,141740.0
210,6,4,4,,213,1074.0,128880.0,128880.0,0.0
211,6,2,1,,366,1907.0,640752.0,495820.0,144932.0
212,6,5,2,,31,671.0,9662.4,6710.0,2952.4
213,6,1,1,,92,1778.0,597408.0,462280.0,135128.0
214,2,2,1,,31,1159.0,7707.35,5795.0,1912.35
215,3,2,1,,123,1372.0,9123.8,6860.0,2263.8
216,3,1,1,,1,2349.0,15620.85,11745.0,3875.85
217,3,4,1,,396,2689.0,17881.85,13445.0,4436.85
218,3,1,3,,457,2431.0,27713.4,7293.0,20420.4
219,4,1,3,,457,2431.0,27713.4,7293.0,20420.4
220,5,4,1,,396,2689.0,17881.85,13445.0,4436.85
221,6,4,1,,304,1683.0,11191.95,8415.0,2776.95
222,6,4,3,,335,1123.0,12802.2,3369.0,9433.2
223,6,2,1,,31,1159.0,7707.35,5795.0,1912.35
